symbol,date,price
AAPL,12/20/2021,169.75
AAPL,12/17/2021,171.14
AAPL,12/16/2021,172.26
AAPL,12/15/2021,179.30
AAPL,12/14/2021,174.33
AAPL,12/13/2021,175.74
AAPL,12/10/2021,179.45
AAPL,12/9/2021,174.56
AAPL,12/8/2021,175.08
AAPL,12/7/2021,171.18
AAPL,12/6/2021,165.32
AAPL,12/3/2021,161.84
AAPL,12/2/2021,163.76
AAPL,12/1/2021,164.77
AAPL,11/30/2021,165.30
AAPL,11/29/2021,160.24
AAPL,11/26/2021,156.81
AAPL,11/24/2021,161.94
AAPL,11/23/2021,161.41
AAPL,11/22/2021,161.02
AAPL,11/19/2021,160.55
AAPL,11/18/2021,157.87
AAPL,11/17/2021,153.49
AAPL,11/16/2021,151.00
AAPL,11/15/2021,150.00
AAPL,11/12/2021,149.99
AAPL,11/11/2021,147.87
AAPL,11/10/2021,147.92
AAPL,11/9/2021,150.81
AAPL,11/8/2021,150.44
AAPL,11/5/2021,151.28
AAPL,11/4/2021,150.96
AAPL,11/3/2021,151.49
AAPL,11/2/2021,150.02
AAPL,11/1/2021,148.96
AAPL,10/29/2021,149.80
AAPL,10/28/2021,152.57
AAPL,10/27/2021,148.85
AAPL,10/26/2021,149.32
AAPL,10/25/2021,148.64
AAPL,10/22/2021,148.69
AAPL,10/21/2021,149.48
AAPL,10/20/2021,149.26
AAPL,10/19/2021,148.76
AAPL,10/18/2021,146.55
AAPL,10/15/2021,144.84
AAPL,10/14/2021,143.76
AAPL,10/13/2021,140.91
AAPL,10/12/2021,141.51
AAPL,10/11/2021,142.81
AAPL,10/8/2021,142.90
AAPL,10/7/2021,143.29
AAPL,10/6/2021,142.00
AAPL,10/5/2021,141.11
AAPL,10/4/2021,139.14
AAPL,10/1/2021,142.65
AAPL,09/30/2021,141.50
AAPL,09/29/2021,142.83
AAPL,09/28/2021,141.91
AAPL,09/27/2021,145.37
AAPL,09/24/2021,146.92
AAPL,09/23/2021,146.83
AAPL,09/22/2021,145.85
AAPL,09/21/2021,143.43
AAPL,09/20/2021,142.94
AAPL,09/17/2021,146.06
AAPL,09/16/2021,148.79
AAPL,09/15/2021,149.03
AAPL,09/14/2021,148.12
AAPL,09/13/2021,149.55
AAPL,9/10/2021,148.97
AAPL,9/9/2021,154.07
AAPL,9/8/2021,155.11
AAPL,9/7/2021,156.69
AAPL,9/3/2021,154.30
AAPL,9/2/2021,153.65
AAPL,9/1/2021,152.51
AAPL,08/31/2021,151.83
AAPL,08/30/2021,153.12
AAPL,08/27/2021,148.60
AAPL,08/26/2021,147.54
AAPL,08/25/2021,148.36
AAPL,08/24/2021,149.62
AAPL,08/23/2021,149.71
AAPL,08/20/2021,148.19
AAPL,08/19/2021,146.70
AAPL,08/18/2021,146.36
AAPL,08/17/2021,150.19
AAPL,08/16/2021,151.12
AAPL,08/13/2021,149.10
AAPL,8/12/2021,148.89
AAPL,8/11/2021,145.86
AAPL,8/10/2021,145.60
AAPL,8/9/2021,146.09
AAPL,8/6/2021,146.14
AAPL,8/5/2021,147.06
AAPL,8/4/2021,146.95
AAPL,8/3/2021,147.36
AAPL,8/2/2021,145.52
AAPL,07/30/2021,145.86
AAPL,07/29/2021,145.64
AAPL,07/28/2021,144.98
AAPL,07/27/2021,146.77
AAPL,07/26/2021,148.99
AAPL,07/23/2021,148.56
AAPL,07/22/2021,146.80
AAPL,07/21/2021,145.40
AAPL,07/20/2021,146.15
AAPL,07/19/2021,142.45
AAPL,07/16/2021,146.39
AAPL,07/15/2021,148.48
AAPL,07/14/2021,149.15
AAPL,07/13/2021,145.64
AAPL,7/12/2021,144.50
AAPL,7/9/2021,145.11
AAPL,7/8/2021,143.24
AAPL,7/7/2021,144.57
AAPL,7/6/2021,142.02
AAPL,7/2/2021,139.96
AAPL,7/1/2021,137.27
AAPL,06/30/2021,136.96
AAPL,06/29/2021,136.33
AAPL,06/28/2021,134.78
AAPL,06/25/2021,133.11
AAPL,06/24/2021,133.41
AAPL,06/23/2021,133.70
AAPL,06/22/2021,133.98
AAPL,06/21/2021,132.30
AAPL,06/18/2021,130.46
AAPL,06/17/2021,131.79
AAPL,06/16/2021,130.15
AAPL,06/15/2021,129.64
AAPL,06/14/2021,130.48
AAPL,6/11/2021,127.35
AAPL,6/10/2021,126.11
AAPL,6/9/2021,127.13
AAPL,6/8/2021,126.74
AAPL,6/7/2021,125.90
AAPL,6/4/2021,125.89
AAPL,6/3/2021,123.54
AAPL,6/2/2021,125.06
AAPL,6/1/2021,124.28
AAPL,05/28/2021,124.61
AAPL,05/27/2021,125.28
AAPL,05/26/2021,126.85
AAPL,05/25/2021,126.90
AAPL,05/24/2021,127.10
AAPL,05/21/2021,125.43
AAPL,05/20/2021,127.31
AAPL,05/19/2021,124.69
AAPL,05/18/2021,124.85
AAPL,05/17/2021,126.27
AAPL,05/14/2021,127.45
AAPL,05/13/2021,124.97
AAPL,5/12/2021,122.77
AAPL,5/11/2021,125.91
AAPL,5/10/2021,126.85
AAPL,5/7/2021,130.21
AAPL,5/6/2021,129.74
AAPL,5/5/2021,128.10
AAPL,5/4/2021,127.85
AAPL,5/3/2021,132.54
AAPL,04/30/2021,131.46
AAPL,04/29/2021,133.48
AAPL,04/28/2021,133.58
AAPL,04/27/2021,134.39
AAPL,04/26/2021,134.72
AAPL,04/23/2021,134.32
AAPL,04/22/2021,131.94
AAPL,04/21/2021,133.50
AAPL,04/20/2021,133.11
AAPL,04/19/2021,134.84
AAPL,04/16/2021,134.16
AAPL,04/15/2021,134.50
AAPL,04/14/2021,132.03
AAPL,04/13/2021,134.43
AAPL,4/12/2021,131.24
AAPL,4/9/2021,133.00
AAPL,4/8/2021,130.36
AAPL,4/7/2021,127.90
AAPL,4/6/2021,126.21
AAPL,4/5/2021,125.90
AAPL,4/1/2021,123.00
AAPL,03/31/2021,122.15
AAPL,03/30/2021,119.90
AAPL,03/29/2021,121.39
AAPL,03/26/2021,121.21
AAPL,03/25/2021,120.59
AAPL,03/24/2021,120.09
AAPL,03/23/2021,122.54
AAPL,03/22/2021,123.39
AAPL,03/19/2021,119.99
AAPL,03/18/2021,120.53
AAPL,03/17/2021,124.76
AAPL,03/16/2021,125.57
AAPL,03/15/2021,123.99
AAPL,3/12/2021,121.03
AAPL,3/11/2021,121.96
AAPL,3/10/2021,119.98
AAPL,3/9/2021,121.09
AAPL,3/8/2021,116.36
AAPL,3/5/2021,121.42
AAPL,3/4/2021,120.13
AAPL,3/3/2021,122.06
AAPL,3/2/2021,125.12
AAPL,3/1/2021,127.79
AAPL,02/26/2021,121.26
AAPL,02/25/2021,120.99
AAPL,02/24/2021,125.35
AAPL,02/23/2021,125.86
AAPL,02/22/2021,126.00
AAPL,02/19/2021,129.87
AAPL,02/18/2021,129.71
AAPL,02/17/2021,130.84
AAPL,02/16/2021,133.19
AAPL,2/12/2021,135.37
AAPL,2/11/2021,135.13
AAPL,2/10/2021,135.39
